id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
0,ACK1VT002.jpg,"0.0,0.5385669,0.0,0.5763566,0.0,0.0040667057,0.0,0.8854011,1.5915921,0.0,0.0,1.2039477,0.75412965,0.0,0.46935225,0.0,0.0,0.0,0.0,0.59096676,0.0,0.0,0.29444736,1.0446957,0.04361374,0.93348604,0.0,0.084808946,0.0,0.67611593,0.4645182,0.0,0.0,0.18574649,0.0,0.10441342,0.6113851,0.0,0.0,0.0,0.13798155,0.0,0.0,0.0,0.070620835,0.4756566,0.0,0.0,0.80398446,0.011595666,0.0,0.38642988,0.013054177,0.0,0.33008373,0.0,1.229682,0.0,1.3796079,0.9068198,0.64929396,0.16795215,0.0,0.1383793",9,1.330596,46.868835,-35.57603
1,ACK9CA004.jpg,"0.0,0.0,0.0,0.0,0.0,0.11193091,0.0,1.0151153,1.6243904,0.0,0.0,1.1749849,1.0743077,0.0,1.0914199,0.0,0.0,0.0,0.0,0.6226468,0.0,0.48302838,0.0,1.0756111,0.0,0.708696,0.0,0.0,0.09249234,1.0680104,0.8249068,0.0,0.0,0.0,0.118050896,0.0,0.0,0.0,0.0,0.0,0.57628626,0.14692725,0.0,0.0,0.0,0.6084341,0.1418705,0.0,0.90982896,0.5501748,0.0,0.0,0.052402496,0.0,0.12670715,0.0,0.46258256,0.057227343,1.2109988,0.01472351,0.9286664,0.0,0.0,0.0",1,1.2975286,24.349422,9.335938
2,ACK9CA005.jpg,"0.0,0.5350558,0.0,0.0,0.0,0.008550674,0.0,0.33773923,1.1052936,0.0,0.11466473,0.7215192,1.4380699,0.0,0.64500564,0.0,0.0,0.0,0.0,1.342831,0.0,0.0,0.12925598,0.29556328,0.27591285,0.7055294,0.0,0.09168197,0.32645282,1.5630771,1.0254602,0.13326746,0.0,0.7384037,0.0,0.0,0.0,0.0,0.0,0.0,1.0108414,0.7533903,0.0,0.0,0.0,0.41211364,0.36291045,0.0,1.2008965,0.6651215,0.0,0.0,0.0,0.0,0.0,0.13400859,0.64009464,0.0,1.3348614,0.0,0.6049087,0.0,0.18779726,0.0",2,0.9512454,4.238882,-30.527082
3,ACL9BL003.jpg,"0.0,0.4813388,0.0,0.0,0.0,0.2925416,0.0,0.6589786,1.3180883,0.0,0.0,0.9015836,0.608776,0.0,0.7598624,0.0,0.0,0.0,0.0,0.62394506,0.0,0.21629716,0.0,0.95817274,0.18693115,0.7518418,0.0,0.0,0.086625576,1.305865,0.5351789,0.0,0.0,0.0,0.0024987832,0.0,0.08095968,0.0,0.0,0.0,0.25774863,0.0,0.0,0.0,0.0,1.0171263,0.19958293,0.0,1.0911953,0.26848668,0.0,0.0,0.10148986,0.0,0.3844956,0.109582126,0.5967675,0.32808554,1.743612,0.52064604,0.50694174,0.0,0.0,0.0",9,1.2565732,42.48056,-26.122904
4,ACL9CA007.jpg,"0.0,0.0,0.0,0.06461643,0.0,0.0,0.0,0.6712004,1.9419143,0.0,0.0,1.4690609,1.5686471,0.0,1.0691271,0.0,0.0,0.0,0.0,0.5786579,0.0,0.22254866,0.43648785,1.0089264,0.0,0.5725622,0.0,0.0,0.31351864,0.8899311,1.1574982,0.0,0.0,0.0,0.06823878,0.0,0.0,0.0,0.0,0.0,0.5721708,0.35158288,0.0,0.0,0.0,0.72122777,0.0048466325,0.0,1.2248442,0.4343031,0.0,0.0,0.0,0.0,0.0,0.0,0.5735411,0.0,1.1273217,0.12520044,1.1582146,0.16209954,0.0,0.0",3,1.3586372,24.217825,0.7624893
5,ACL9JK001.jpg,"0.0,0.46680543,0.0,0.5105618,0.0,0.0,0.0,0.0,1.5764834,0.0,0.0,1.1437949,1.2216845,0.0,0.6014624,0.0,0.0,0.0,0.34303397,0.60030234,0.0,0.0,0.07728192,0.38835514,0.023515746,1.1948606,0.0,0.38619742,0.0,1.2875524,1.4225016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27055463,0.58026856,0.0,0.0,0.012440026,0.64551646,0.0,0.0,1.252562,0.50317883,0.0,0.66548216,0.0,0.0,0.40766984,0.0,1.0408417,0.0,1.6094109,0.75178516,0.4974429,0.6514617,0.0,0.21404353",9,1.7930423,4.1912074,-14.331124
6,ACL9JK002.jpg,"0.0,0.6253332,0.0,0.0,0.0,0.19465533,0.0,0.33664668,1.0547844,0.0,0.0,0.5054189,1.0203795,0.0,0.41106486,0.0,0.0,0.0,0.0,0.5553661,0.0,0.0,0.0,0.47676414,0.57050407,0.5025123,0.0,0.0,0.0,1.4633584,0.50292736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.54330325,0.1108228,0.0,0.0,0.0,0.983285,0.12229526,0.0,0.8846688,0.18858075,0.0,0.0,0.0,0.0,0.40513712,0.19260603,0.613958,0.025053054,1.6372938,0.2431075,0.6401384,0.0,0.0,0.0",9,1.4002117,42.774292,-26.434237
7,ACL9JP002.jpg,"0.0,0.47013205,0.0,0.0,0.0,0.0,0.0,0.6132586,1.0808294,0.0,0.6310767,0.84720755,1.3481226,0.0,0.7918247,0.0,0.0,0.0,0.0,1.2385236,0.0,0.08744368,0.0,0.7321571,0.17851067,0.52882475,0.0,0.12226504,0.05854389,1.607655,0.7020085,0.0,0.0,0.0,0.0,0.0,0.06596184,0.0,0.0,0.0,0.982874,0.60321003,0.0,0.0,0.021729395,1.1357402,0.16537893,0.0,0.8451167,0.69856095,0.0,0.0,0.0,0.0,0.0,0.21163347,0.20504978,0.0,1.4347029,0.11924876,0.5032728,0.0,0.0,0.0",2,1.4749432,3.6627836,-35.274178
8,ACL9JP005.jpg,"0.0,0.7910857,0.0,0.26018584,0.0,0.0,0.0,0.34852245,1.032265,0.0,0.08274734,1.5027173,1.9609677,0.0,1.2763573,0.0,0.0,0.0,0.0,1.146085,0.0,0.2490013,0.14369556,0.6287302,0.0,0.35366556,0.0,0.039065093,0.52014744,0.8579346,1.118001,0.0,0.0,0.0,0.19924642,0.0,0.0,0.0,0.0,0.0,1.088115,0.8999741,0.0,0.033700466,0.0,0.87932193,0.07222885,0.0,1.1812494,0.48012623,0.0,0.0,0.0757062,0.0,0.13011882,0.0,1.0375452,0.0,1.1284132,0.33213252,0.43253398,0.0,0.08833499,0.0",3,1.5640109,13.89242,-3.164806
9,ACL9JP008.jpg,"0.0,0.8644295,0.0,0.0,0.0,0.44615084,0.0,0.7071158,1.1517138,0.0,0.393037,0.48615777,1.0112308,0.0,0.5149132,0.0,0.0,0.0,0.0,1.2456404,0.0,0.14707856,0.0,0.60212094,0.0,0.5643818,0.0,0.0,0.1494993,1.7637689,0.8248229,0.0,0.0,0.49379736,0.071731165,0.0,0.0,0.0,0.03630899,0.0,0.7406781,0.9220704,0.0,0.0,0.0,0.765778,0.68988883,0.0,1.0891502,0.8453441,0.0,0.0,0.0,0.0,0.0,0.34066188,0.73330486,0.0,1.452692,0.017055944,0.36146182,0.0,0.09442584,0.0",2,1.1269315,1.1174839,-33.260242
10,ACL9OP003.jpg,"0.0,0.0,0.0,0.1281505,0.0,0.5663135,0.0,0.70914066,1.3859223,0.0,0.0,1.0288174,0.94288844,0.0,1.1968322,0.0,0.0,0.040135384,0.0,0.6846406,0.0,0.6146645,0.0,0.86799145,0.0,0.5890798,0.0,0.0014188588,0.0,1.0031646,0.88290805,0.0,0.0,0.0,0.19981399,0.0,0.0,0.0,0.0,0.0,0.29328075,0.32899952,0.0,0.0,0.0,0.55456334,0.44610858,0.0,0.57443833,0.56406367,0.0,0.0,0.107594565,0.0,0.5282649,0.0,0.71334004,0.07912348,1.4269583,0.11407083,0.50000215,0.0,0.0,0.2140502",1,1.2896807,24.830303,11.411393
11,ACL9PT001.jpg,"0.0,1.0403404,0.0,0.0,0.0,0.22616309,0.0,0.32462335,1.1535114,0.0,0.0,0.40134338,1.0095872,0.0,0.6668856,0.0,0.0,0.46021077,0.0,1.1676021,0.0,0.09368384,0.0,0.44386843,0.0,0.3282225,0.0,0.3697049,0.0,1.4656684,0.97137845,0.1320365,0.0,0.19892365,0.35550094,0.0,0.0,0.0,0.0,0.0,0.4912185,0.74836063,0.0,0.0,0.0,0.66199386,0.6234431,0.07181871,1.1238233,0.41229597,0.0,0.0,0.0,0.0,0.37504044,0.2868622,0.2860744,0.0,1.0214993,0.17072636,0.0,0.0,0.0,0.0",0,1.1480945,-5.9157276,-29.664476
12,ACL9VT001.jpg,"0.0,0.0,0.0,0.0,0.0,0.63326293,0.082277805,0.51930094,1.5987583,0.0,0.0,0.9613232,0.9902696,0.0,0.76185733,0.0,0.0,0.092502534,0.0,1.124379,0.0,0.79438823,0.0,1.0942682,0.0,0.67096597,0.0,0.12797272,0.0,1.2278852,1.0005217,0.0,0.0,0.0,0.36649856,0.0,0.0,0.0,0.0,0.0,0.29995748,0.27620015,0.0,0.0,0.0,0.326631,0.025195062,0.0,0.46975523,0.16109882,0.0,0.0,0.07961036,0.0,0.5338065,0.0,0.96389544,0.05448112,1.2831897,0.35647613,0.44754833,0.0,0.0,0.16587344",1,1.4922479,25.497332,10.721243
13,ACL9VT006.jpg,"0.0,0.63938487,0.0,0.0,0.0,0.229428,0.0,0.75279504,1.07477,0.0,0.0,0.4339165,1.0042679,0.2270357,0.7749073,0.0,0.0,0.060397133,0.0,0.9802942,0.0,0.27120674,0.0,0.64966166,0.0,0.34421924,0.0,0.05647999,0.0,1.4325273,0.7897919,0.0,0.0,0.2018176,0.2102794,0.0,0.1388601,0.0,0.0,0.0,0.42583495,0.3510033,0.0,0.0,0.0,0.20074362,0.38296402,0.0,1.0339726,0.42943627,0.0,0.0,0.0,0.0,0.29166394,0.33691007,0.32377562,0.0,1.4685177,0.28018558,0.27831095,0.04933171,0.0,0.0579392",0,0.95946,-15.689859,-6.7359996
14,ACL9WS002.jpg,"0.0,0.32655483,0.0,0.60040414,0.0,0.27889124,0.0,0.6688485,1.4884341,0.0,0.0,1.0752833,0.81255287,0.0,1.0683446,0.0,0.0,0.0,0.0,0.8546605,0.0,0.3144686,0.3285753,0.88824165,0.0,0.29067016,0.0,0.12399121,0.0,0.7326892,1.0460827,0.0,0.0,0.0,0.064745516,0.0,0.0,0.0,0.0,0.025668338,0.23388505,0.07279536,0.0,0.0,0.09594828,0.61919653,0.36726266,0.0,0.78427714,0.5525576,0.0,0.12708315,0.3088629,0.0,0.83430594,0.0,0.8660739,0.0,1.6314161,0.26838416,0.14455885,0.0,0.0,0.35426587",7,1.3332945,56.522125,-8.87937
15,ADC3WS001.jpg,"0.0,0.47199655,0.0,0.43239734,0.0,0.6041706,0.0,0.5586524,1.242816,0.0,0.0,1.0943631,1.2709025,0.0,1.1564212,0.0,0.0,0.0,0.0,0.9985146,0.0,0.49933827,0.176194,0.7005455,0.0,0.52007437,0.0,0.20296338,0.39341715,1.2633716,1.1804295,0.0,0.0,0.0,0.0076533034,0.0,0.0,0.0,0.0,0.0,0.4777965,0.39162195,0.0,0.0,0.0,0.12028867,0.39504927,0.0,1.0007868,0.5181818,0.0,0.053673208,0.2292477,0.0,0.17928731,0.0,0.55079293,0.0,1.3637556,0.0,0.335359,0.20505889,0.0,0.35576382",1,1.1618662,30.237185,24.43931
