id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
10,(~77사이즈) 패턴 랩 원피스_SWWOPM21190.jpeg,"0.47274208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27478856,0.0,0.88632405,0.0,1.0236919,0.0,0.34962127,0.0,0.0,0.8000788,0.0,0.41960502,0.11329308,0.16054347,0.2773173,0.06458992,0.0,0.0,0.0,0.0,0.5873697,0.1740855,0.0,0.0,0.0,0.41271254,0.7046154,0.09313777,0.0,0.8874784,0.919349,0.0,0.20023662,0.6144252,0.38265648,0.5823513,0.0,0.0,0.088614225,1.0621645,0.0,1.1728138,0.2568857,0.19009903,0.0,0.20578966,0.0,0.0,0.0,0.8916832,0.0,0.1523472,0.5213737,0.0,0.14835775,1.2191631",3,1.0892304,1.626805,-4.8693595
11,(~88size)드로잉 플라워 주름 원피스.jpeg,"0.034095436,0.0,0.6277297,0.0,0.0,0.0,0.0,0.0,0.42314383,0.0,0.113113314,0.0,1.4836609,0.0,0.21261996,0.0,0.0,0.6417012,0.17207997,0.44650665,0.0,0.16970657,0.36538422,0.0,0.0,0.15104178,0.0,0.0,0.101521835,0.42439654,0.0,0.0,0.0,0.69985473,1.2934031,0.41883788,0.0,1.2618294,0.0,0.0,0.0,0.26309118,0.0,0.07010102,0.15731955,0.0,0.7255002,1.4501786,0.0,1.5653207,0.0,0.068991244,0.02990798,0.0,0.0,0.0,0.0,0.96540266,0.0,0.084172875,0.7650109,0.0,1.1222906,1.1131479",1,1.1480983,-2.5549564,7.637654
12,(가을 버젼) 슈크림 와플 캉캉 원피스(소매 긴기장 추가).jpeg,"0.0,0.0,0.757959,0.0,0.048304915,0.28137836,0.0,0.0,0.23700404,0.0,0.0,0.0,0.88483655,0.49255785,0.41018382,0.0,0.6120535,1.4354277,0.0,0.07792448,0.77876735,0.85192525,0.31610814,0.5410868,0.0,0.0,0.0,0.0,0.22542399,0.0,0.0,0.0,0.0,0.69102675,1.3685278,0.19599862,0.0,1.5131688,0.80356824,0.0,0.0,0.9665487,0.39009407,0.45561433,0.0,0.0,0.39395213,0.82210064,0.0,1.4717026,0.06269182,0.0635626,1.014293,0.0,0.29393932,0.0,0.0,0.0039825067,0.0,0.45678926,1.045417,0.0,1.1740164,1.4718013",4,1.7433984,-8.33096,-7.830775
13,(더아이잗) 니트 배색 비대칭 플레어 원피스 IL9A0OP07.jpeg,"0.4159609,0.0,0.90326387,0.0,0.0,0.0,0.0,0.0,0.54328716,0.0,0.65988743,0.0,1.5568643,0.0,0.0,0.0,0.0,0.7840974,0.47787878,0.64587176,0.0,0.0,0.2234909,0.0,0.0,0.067939,0.0,0.0,0.8763846,0.03851664,0.0,0.0,0.0,0.49255195,1.4279394,0.5378291,0.0,0.8032035,0.43342227,0.0,0.0,0.27902663,0.0,0.15137777,0.0,0.0,0.5977357,1.5444099,0.0,1.5055132,0.03802666,0.0,0.0,0.43434405,0.0,0.0,0.0,0.6546436,0.0,0.39522487,0.7139052,0.03190419,0.49721265,1.3531424",1,1.2828835,-1.7124906,2.2134192
14,(더아이잗) 더블 버튼 슬릿 디테일 원피스 IN3M0OP80.jpeg,"0.0,0.0,0.0,0.0,0.0,0.07319322,0.0,0.0,0.0,0.0,0.3329019,0.06527358,0.49158224,0.07459737,0.14154899,0.0,0.0,1.1788024,0.0,0.01094313,0.5162879,0.40235478,0.33243644,0.90796673,0.0,0.3293985,0.0,0.0,0.75787437,0.36618143,0.0,0.0,0.0,0.26456183,0.62348115,0.3243595,0.0,1.2161846,1.0077319,0.0,0.04814446,0.20867395,0.18922186,0.7257087,0.0,0.0,0.47228724,1.1582017,0.0,1.0690715,0.3112443,0.069042414,0.3898371,0.0,0.0,0.0,0.0,0.82007957,0.0,0.40355387,0.68909717,0.0,0.32048947,1.3348901",6,1.2778682,0.5437048,-8.53643
15,(더아이잗) 백 밴딩 프릴 슬리브 원피스 IN4A0OP01.jpeg,"0.1661548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22888269,0.0,0.6986605,0.0,0.74191153,0.0,0.22110888,0.0,0.22137538,0.9035915,0.0,0.092446506,0.3157551,0.26090425,0.11686292,0.9525816,0.0,0.2519805,0.019187957,0.0,0.11673951,0.1362285,0.0,0.0,0.0,0.27378252,0.34688592,0.11932787,0.0,1.3582397,0.44052604,0.0,0.05442959,0.541908,0.44235882,0.59642035,0.0,0.0,0.2142271,0.9187314,0.0,0.95797586,0.5793859,0.3134951,0.6027109,0.0,0.0,0.17352231,0.0,0.96426237,0.0,0.10820329,0.70943916,0.0,0.26984954,1.1321067",6,0.81617016,3.119314,-10.746993
16,(더아이잗) 밴딩 셔츠 원피스 IN6P0OP13.jpeg,"0.64944977,0.0,0.06363322,0.0,0.0,0.029034615,0.0,0.0,0.22857489,0.0,0.72086346,0.0,1.3898666,0.0,0.0,0.0,0.0,0.73346514,0.0,0.11651663,0.0,0.09913486,0.0,0.2481206,0.0,0.20939678,0.0,0.0,0.518137,0.0,0.0,0.0,0.0,0.22854641,0.9456074,0.22737868,0.0,1.0328033,0.6423532,0.0,0.13030127,0.1287621,0.35772628,0.5336062,0.12891959,0.0,0.2662236,1.2818128,0.0,1.3138118,0.32055125,0.22518197,0.104379654,0.20731534,0.0,0.0,0.0,1.1235623,0.0,0.14347494,0.6288323,0.123777136,0.5138638,1.0683403",0,0.7490803,3.6319687,-5.520667
17,(더아이잗) 블라우스 배색 플리츠 원피스 IM4A0OP18.jpeg,"0.15033168,0.0,0.16023755,0.0,0.0,0.059128195,0.0,0.0,0.0,0.0,1.2627846,0.0,1.2753369,0.123948246,0.0,0.0,0.0,0.42898583,0.16536751,0.11189699,0.0,0.045151144,0.06588122,0.54551,0.0,0.06695211,0.0,0.0,0.5911618,0.06313163,0.0,0.0,0.0,0.0,0.57515955,0.35446286,0.0,1.0547035,0.6418579,0.0,0.41096807,0.2460267,0.67529726,0.43315417,0.0,0.0,0.39720377,1.0091246,0.0,0.66063017,0.38439345,0.30856696,0.19332322,0.13442427,0.0,0.0,0.0,0.8813454,0.0,0.029979587,0.6793258,0.0,0.43103284,1.332666",0,1.1516709,3.0079603,-14.28849
18,(더아이잗) 오간자 배색 서스펜더 원피스 IM4A0OP20.jpeg,"0.9727085,0.0,0.057027906,0.0,0.0,1.3618634,0.0,0.0,0.30789077,0.0,0.43144533,0.0,1.1706218,0.0,0.0,0.0,0.0,0.33526403,0.0,0.51598185,0.08657992,0.0,0.0,0.0,0.0,0.036168814,0.0,0.0,1.0419933,0.0,0.0,0.0,0.0,0.58830523,0.75993955,0.09596848,0.11120072,0.9529877,0.6612576,0.0,0.0,0.060828447,0.05160427,0.7860373,0.0,0.0,0.63079363,1.6278045,0.0,2.253017,0.12335311,0.23693255,0.0,0.6057588,0.0,0.0,0.0,0.84193265,0.0,0.1133813,0.30600077,0.1901119,0.30843812,1.0378805",5,1.4191518,9.715124,5.8415337
19,(더아이잗) 턱 디테일 셔츠 원피스 IN5P0OP52.jpeg,"0.0,0.0,0.10351342,0.017624885,0.13317919,0.0,0.0,0.0,0.42491603,0.0,0.3759591,0.0,0.37313485,0.03647893,0.27863628,0.0,0.32797262,1.2141025,0.0,0.0,0.00958547,0.64218146,0.38666016,0.8957427,0.0,0.039424416,0.0038065165,0.0,0.363966,0.059098214,0.0,0.0,0.0,0.7203176,0.7278681,0.10776663,0.0,1.3982035,0.3352589,0.0,0.0,0.7111531,0.46374673,0.30099398,0.0,0.0,0.3362692,1.1832135,0.0,0.57950795,0.28957456,0.06678051,0.1925265,0.0,0.0,0.0,0.0,0.7480309,0.0,0.348607,0.9825561,0.0,0.39021045,1.1268092",6,1.2286363,-1.472462,-9.690356
