id,image_path,latent_vector,cluster_label,cluster_center_distance
10,[신상] 배색 스티치 포인트 원피스 LCOPN321_WN.jpg,"0.8079152,0.26488456,0.6582088,0.7722888,0.0,0.0,0.0,0.0174025,0.0,0.0,0.020573229,1.4214292,2.2641048,0.28124595,0.0,0.59143156,0.49050397,0.0,0.0,0.9523148,0.0,0.4717875,0.31481063,0.0,0.036824018,0.0,0.0,0.2589655,1.4839807,0.24579048,0.48455343,0.0,1.1923897,0.0,0.0,0.40742362,0.0,0.023628414,0.0,0.37936115,0.0,0.0,0.0,0.0,0.14870313,0.33798447,0.0017054975,0.42146307,0.108942986,1.5472172,0.5794791,0.0,0.0,0.15494435,0.0,0.0,0.0,0.0,0.11752622,0.0,0.0,0.36469442,0.00430575,0.9041792",9,0.5724982
11,[신상] 벨티드 슬림 원피스_SWWOPN22040.jpg,"0.9824585,0.633389,0.8588125,0.91335356,0.0,0.0,0.0,0.14318301,0.0,0.0,0.3790436,1.4262636,2.3447526,0.23976529,0.13069898,0.5937166,0.49465403,0.12325227,0.0,0.91381645,0.0,0.61805606,0.0,0.0,0.0,0.0,0.0,0.75240815,1.5378244,0.15659386,0.51098627,0.0,1.0273294,0.016519085,0.0,0.49970755,0.0,0.06398538,0.0,0.69715405,0.0,0.0,0.0,0.0,0.22058463,0.41559684,0.06199017,0.58336693,0.0,1.5080757,0.8128034,0.0,0.0,0.2065325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.21292771,0.0,0.59683985",0,0.7241931
12,[신상]모노프린트 플레어 원피스_VOCOA3S2111.jpeg,"1.0268439,0.0,0.54439867,1.1018928,0.0,0.0,0.0,0.23810323,0.0,0.0,0.0,1.1719931,1.5322077,0.41506422,0.011449546,0.52055305,0.0,0.3669906,0.0,1.3090042,0.32025763,0.4319858,0.5382185,0.0,0.0,0.3065101,0.0,0.6544643,1.8865952,0.0,0.36644483,0.0,1.2707088,0.044119358,0.0,0.29840636,0.0,0.02703482,0.0,0.5654614,0.0,0.0,0.0,0.0,0.43484133,0.28635955,0.09402451,0.5609164,0.0,2.1042752,0.97070557,0.0,0.0,0.19878662,0.0,0.26532567,0.0,0.0,0.09132387,0.0,0.0,0.052429304,0.23728727,0.57958806",4,1.2805729
13,[여름BEST]페플럼 더블 브레스트 원피스_TWWOPN62070.jpg,"0.8813091,0.57715106,0.81861174,0.69350183,0.0,0.0,0.0,0.1110532,0.0,0.0,0.0038011372,1.6138915,1.9141337,0.3382439,0.0,0.5296098,0.49664462,0.0,0.0,0.86461806,0.0,0.39655235,0.27261716,0.0,0.0,0.124789536,0.0,0.66173935,1.628109,0.06587033,0.76889944,0.0,0.8046784,0.0,0.0,0.54844713,0.0,0.31505716,0.0,0.6631178,0.0,0.0,0.0,0.0,0.22686106,0.3310386,0.25769588,0.1910058,0.0,1.671915,0.86641085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28441572,0.0,0.0,0.1575293,0.0,0.34493437",0,0.5975621
14,벨트 포인트 트렌치 원피스.jpeg,"0.8756156,0.26133358,0.57423806,0.5408964,0.0,0.0,0.0,0.0,0.0,0.0,0.14061971,1.3852643,1.9734321,0.0,0.0,0.36413726,0.47320932,0.0,0.0,1.101018,0.0,0.35989726,0.12378147,0.0,0.0,0.0,0.0,0.17088366,1.417547,0.563828,0.29915947,0.0,1.1891434,0.0,0.0,0.47316137,0.0,0.0,0.0,0.042211056,0.0,0.0,0.0,0.0,0.0,0.81985277,0.16235591,0.3384043,0.0,1.7742908,1.0434175,0.0,0.0,0.27646536,0.0,0.0,0.0,0.0,0.30634955,0.0,0.0,0.47557342,0.0,0.6871511",9,0.5724982
15,브레이드헴럭셔리원피스.jpg,"0.78111565,0.39079663,0.4684275,1.0985966,0.0,0.0,0.15844166,0.0,0.0,0.0,0.37401986,1.1371565,2.104026,0.572528,0.0,0.7426484,0.27566624,0.18001774,0.0,1.3890792,0.0,0.7119155,0.72667325,0.0,0.0,0.0,0.0,0.18023229,1.5975736,0.0,0.3109815,0.0,1.2023346,0.0,0.0,0.84261084,0.0,0.0,0.0,0.8514615,0.0,0.0,0.0,0.0,0.18755814,0.43254167,0.0,0.5634712,0.080733955,1.6507576,0.9789547,0.0,0.0,0.56872344,0.0,0.009021938,0.18204445,0.0,0.0,0.0,0.0,0.09324058,0.0,1.080734",1,0.8112397
16,셔링 터틀넥 나팔주름 원피스.jpg,"0.879486,0.0,0.5311541,1.3195907,0.0,0.0,0.0,0.0,0.0,0.0,0.509936,1.640522,1.5008321,0.09719178,0.0,0.31666863,0.5947877,0.78317124,0.0,1.4116054,0.0,0.53980756,0.10283369,0.0,0.0,0.0,0.0,0.3547997,1.4492803,0.14565766,0.63818336,0.0,1.0750552,0.0,0.0,0.48703498,0.0,0.0,0.0,0.5784793,0.0,0.0,0.0,0.0,0.4438657,0.12278032,0.11789653,0.10194869,0.13562006,2.0272686,0.85281056,0.0,0.0,0.63254225,0.015448779,0.0,0.4357106,0.0,0.609879,0.0,0.0,0.28420317,0.26338384,1.4090098",6,0.0
17,소매 셔링 카라 롱 원피스 (BDOAX2524).blob,"0.88984627,0.24235171,0.8719516,0.74981105,0.0,0.0,0.26557824,0.0,0.0,0.0,0.56961346,1.3279682,1.8265746,0.5459513,0.0,0.37580466,0.22533976,0.0,0.0,1.1112106,0.0,0.5164679,0.41314483,0.0,0.0,0.0,0.0,0.14831269,1.3292779,0.0,0.7538683,0.0,1.0164746,0.035437107,0.0,0.4233788,0.0,0.0,0.0,0.4151085,0.0,0.0,0.0,0.0,0.60719675,0.08667493,0.40019375,0.28945687,0.0,1.9316458,0.44565332,0.0,0.0,0.21485181,0.0,0.0,0.15413898,0.0,0.0,0.0,0.0,0.5089042,0.0,0.92690825",4,0.9110801
18,실키크링클벨티드원피스.jpg,"1.0323944,0.5797502,0.77751386,0.8605824,0.0,0.0,0.06886655,0.0,0.0,0.0,0.25587615,1.1833489,1.9218445,0.16407403,0.0,0.49264967,0.5467341,0.07785007,0.0,1.3976239,0.0,0.6970705,0.2827636,0.0,0.07259077,0.0,0.0,0.48496088,1.4407289,0.06553474,0.8505901,0.0,1.0844693,0.1134889,0.0,0.35325977,0.0,0.0,0.0,0.5403826,0.0,0.0,0.0,0.0,0.0,0.19486746,0.30962574,0.29682672,0.13800156,1.7442775,0.4595359,0.0,0.0,0.6634001,0.0,0.02499409,0.0,0.0,0.03688675,0.0,0.0,0.1878602,0.0,0.8329515",4,0.9006582
19,에비뉴 숄카라 트위드 원피스(S~L)(벨트set).jpeg,"1.056761,0.3106213,0.5724443,1.2659423,0.1166549,0.0,0.0,0.0,0.0,0.0,0.02013795,1.2975559,2.4323013,0.12925619,0.0,0.64839906,0.24256968,0.0,0.0,0.9388677,0.0,0.35477003,0.79543173,0.0,0.088772535,0.0,0.0,0.29250413,1.8378365,0.0,0.36726856,0.0,1.3866605,0.02175045,0.0,0.6564452,0.0,0.6758963,0.06081702,0.7433979,0.0,0.0,0.0,0.0,0.5102486,0.0,0.0,0.0,0.19712615,1.4089466,1.1016572,0.030394793,0.0,0.49536806,0.21834677,0.28351653,0.28805667,0.0,0.0,0.0,0.0,0.40655398,0.041282505,0.7961409",1,0.8112398
20,여성 코튼 랩 셔츠 원피스 LFOPL301_DP.jpg,"1.0713909,0.36056092,0.8097112,1.0680933,0.0,0.0,0.08562118,0.2875726,0.0,0.0,0.14707941,1.5291045,1.8061843,0.40810475,0.0,0.4663086,0.29667798,0.0,0.0,1.2943726,0.0,0.42767376,0.81275904,0.0,0.0,0.0,0.0,0.31453842,1.6647735,0.0469217,0.7057533,0.0,0.8211898,0.0,0.0,0.48709932,0.0,0.0,0.0,0.28946525,0.0,0.0,0.0,0.0,0.05380462,0.6283941,0.2607305,0.41942757,0.0,1.7472008,0.6526297,0.0057070553,0.0,0.26853544,0.0,0.0,0.31770402,0.0,0.0,0.0,0.0,0.27320242,0.0,0.95416063",4,0.88184994
21,크리스텔 스카프 하이 넥 셔링 원피스.jpg,"0.6910912,0.31058705,0.7327523,0.7358684,0.0,0.0,0.0,0.0,0.0,0.0,0.34330767,1.5827154,1.881534,0.10285789,0.0,0.44348466,0.33085424,0.0,0.14758134,1.7783234,0.22066687,0.4756129,0.26372373,0.0,0.0,0.0,0.0,0.65110177,1.4243371,0.07488921,0.21388698,0.0,1.1420729,0.49434036,0.0,0.4151496,0.0,0.1450035,0.0,0.35102642,0.0,0.0,0.0,0.0,0.11234701,0.07058862,0.0,0.52843326,0.0,2.2934203,0.5895048,0.0,0.0,0.20873491,0.0,0.10785583,0.0,0.0,0.0,0.0,0.0,0.50531125,0.15722734,0.4033227",2,0.9816021
22,호피 프린트 셔링 원피스.jpg,"0.78004634,0.11144075,1.0626466,0.2863941,0.14808083,0.0,0.0,0.32190797,0.0,0.0,0.0,0.9805688,1.7851623,0.75038743,0.10391563,0.43160808,0.0,0.0,0.0,1.0523496,0.29988402,0.42658532,0.4144518,0.0,0.0,0.0,0.0,0.38172016,1.215568,0.09730643,0.14591908,0.0,0.99284005,0.0,0.0,0.1524173,0.0,0.14843443,0.0,0.48460335,0.0,0.0,0.0,0.0,0.41928238,0.0,0.0068885684,0.48661125,0.04517436,1.7618864,1.2091645,0.0,0.0,0.66425335,0.0,0.0,0.0,0.0,0.2527078,0.0,0.0,0.12692091,0.0,0.7233297",5,2.9802322e-08
23,화니 스트라이프 롤업 벨티드 플레어 원피스.jpg,"0.7275036,0.095494896,0.8190994,1.0204127,0.0,0.0,0.0,0.0,0.0,0.0,0.20936416,1.4540617,2.0453992,0.24895424,0.0,0.28050137,0.3532778,0.0,0.0,1.1440153,0.16138431,0.6974463,0.41509414,0.0,0.0,0.0,0.0,0.6492332,1.6890004,0.5472162,0.7261196,0.0,1.1409655,0.0,0.0,0.6051648,0.0,0.39733917,0.0,0.3953899,0.0,0.0,0.0,0.0,0.19592232,0.0,0.03761363,0.38087094,0.0,1.9798262,0.59964967,0.0,0.0,0.5457182,0.0,0.11083929,0.24355185,0.0,0.0,0.0,0.0,0.6034651,0.0,0.8237154",2,0.7261645
