id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
0,AEE1PT020.jpg,"0.0,0.0,0.0,0.27529097,0.44703317,0.055305135,0.0,0.0,0.42528376,0.0,0.19252494,0.2511456,0.0,0.21239689,0.10489057,0.6142908,0.0,0.0,0.24612704,0.5318805,0.0,0.2144599,0.38858357,0.2629329,0.054788657,0.0,0.21049695,0.0,0.0,0.0,0.6265842,0.38728586,0.0,0.26193315,0.8062474,0.5433738,0.0,0.0,0.020502675,0.044013284,0.2520398,0.0,0.84219354,0.23166682,0.0,0.37169263,0.0,0.0,0.074114695,0.11491343,0.0,0.0,0.3335525,0.0,0.39885467,0.0,0.85732514,0.34551486,0.06069952,0.19556277,0.20126176,0.0,0.0,0.0378559",6,1.2921343,41.705395,-22.923826
1,AEH2BL201.jpg,"0.39586452,0.20499699,0.0,0.2882955,0.0,0.0,0.51959074,0.0,0.0,0.0,0.65738314,0.3691527,0.5047976,0.0,0.034726877,0.0,0.13050303,0.0,0.0,0.0,0.011223543,0.0,0.36963946,0.32884508,0.27829078,0.0,0.018454159,0.0,0.0,0.0,0.4418828,0.0,0.0,0.0,0.24810752,0.0,0.0774361,0.0,0.11744842,0.0,0.11366609,0.24437633,0.0,0.11096726,0.5895664,0.0,0.0,0.0,0.0089549925,0.0,0.0,0.0,0.2044626,0.0,0.0,0.0,0.16287616,0.0,0.0,0.0,0.6281143,0.0,0.0,0.0",2,1.2720637,-47.8381,11.195953
2,AEA8KT002.jpg,"0.0,0.14985201,0.0,0.15846637,0.28394553,0.0,0.0,0.0,0.1294926,0.0,0.11714681,0.7545329,0.0,0.0,0.14310782,0.21222708,0.0928965,0.0,0.0,0.0,0.0,0.16891603,0.37566683,0.0,0.28002253,0.0,0.2438101,0.0,0.0,0.0,0.09641814,0.0,0.0,0.04857662,0.0,0.0,0.0,0.0,0.0,0.0,0.29681912,0.0,0.10658259,0.28951824,0.0,0.0,0.0,0.0,0.058330342,0.0,0.0,0.0,0.55002975,0.0,0.0,0.0,0.33683276,0.2678382,0.0,0.36375612,0.0,0.0,0.0,0.47431672",0,0.9356086,9.663534,-11.203825
3,AEG8BL006.jpg,"0.0,0.21738286,0.0,0.28515697,0.0,0.0,0.0,0.0,0.07921762,0.0,0.45718235,0.8070735,0.0,0.0,0.6554354,0.0,0.0,0.0,0.0,0.040459033,0.0,0.2694476,0.34670553,0.0,0.0062198965,0.0,0.009817862,0.0,0.0,0.0,0.22053272,0.059718646,0.0,0.0949281,0.2597127,0.7947869,0.0,0.0,0.36624548,0.0,0.11371638,0.0,0.08850988,0.068604544,0.32690546,0.0,0.0,0.0,0.5263004,0.023500873,0.0,0.006781934,0.098113015,0.0,0.0,0.0,0.44439015,0.5840468,0.0,0.39650148,0.0,0.0,0.2530904,0.3265675",1,1.1162114,-11.266956,-35.702274
4,AED1BL017.jpg,"0.0,0.006951415,0.0,0.0,0.31451786,0.42054892,0.0,0.0,0.0,0.0,0.23532699,0.2493735,0.0,0.0,0.38595414,0.023576997,0.0,0.0,0.057246797,0.41405854,0.0,0.457256,0.16042088,0.0,0.0,0.0,0.36720476,0.0,0.0,0.0,0.0,0.49404207,0.0,0.0,0.18285501,0.80679387,0.0,0.0,0.12948266,0.0,0.2742876,0.0,0.03991726,0.2686838,0.0,0.05743107,0.0,0.0,0.2228499,0.0,0.0,0.38490176,0.059653,0.0,0.0,0.0,0.28018773,0.17411584,0.0,0.67619663,0.0,0.0,0.0,0.66354614",1,0.98170733,-0.3981685,-23.906546
5,AEG1BL023.jpg,"0.48668125,0.46030363,0.0,0.053222515,0.2953634,0.3672127,0.0,0.0,0.0,0.0,0.0,1.0869601,0.0,0.0,0.5660838,0.2786847,0.0,0.0,0.36984107,0.2936104,0.0,0.008146399,0.10861708,0.0,0.105814114,0.0,0.0,0.0,0.0,0.0,0.7143905,0.42567027,0.0,0.96677846,0.0,0.8521721,0.0,0.0,0.18390319,0.0,0.25731787,0.03301653,0.0014477,0.43381155,0.35073918,0.89900744,0.0,0.0,0.04173699,0.9383605,0.0,0.18561003,0.03376986,0.0,0.66586715,0.0,0.6759947,0.020477325,0.48892462,0.0,0.0,0.0,0.018918665,0.59280807",9,1.917168,35.751118,11.156189
6,AEC2TS010.jpg,"0.0,0.0,0.0,0.38666296,0.24073485,0.0,0.0,0.0,0.10542326,0.0,0.5164259,0.7733735,0.0,0.0,0.115379736,0.35452446,0.0,0.0,0.0,0.0,0.0,0.0,0.2474975,0.0,0.26383808,0.0,0.034431703,0.0,0.0,0.0,0.0,0.09454209,0.0,0.0,0.0,0.4311015,0.0,0.0,0.108892485,0.0,0.4850624,0.0,0.0,0.057195976,0.0,0.30085206,0.19235545,0.0,0.052136093,0.18943559,0.0,0.0,0.4906463,0.0,0.0,0.0,0.009721555,0.0,0.0,0.23118809,0.0,0.0,0.0,0.70329237",3,1.1566738,5.0012984,-10.819652
7,AEK5CA008.jpg,"0.65620935,0.7224901,0.0,0.705377,0.0,0.0,0.35132208,0.0,0.0,0.0,0.0,0.15729766,0.8642148,0.0,0.0,0.0,0.0,0.0,0.025351515,0.30271125,0.24103107,0.0,0.0,0.52869886,0.8231128,0.0,0.2476628,0.0,0.0,0.0,0.25433716,0.0,0.0,0.09349717,0.0,0.0,0.33790997,0.0,1.0491762,0.0,0.23892218,0.0,0.20941344,0.0,0.846842,0.20879419,0.0,0.0,0.0728907,0.033531476,0.0,0.47176838,0.0,0.0,0.0,0.051157244,0.29412347,0.0,1.3484519,0.0,0.58304507,0.0,0.0,0.0",8,1.8591467,-72.75526,17.682932
8,AEH8DP001.jpg,"0.56602144,0.47970256,0.0,0.07338111,0.0,0.32297525,0.31461787,0.0,0.3599511,0.0,0.0,0.31256253,0.21360667,0.26561323,0.059049804,0.58329135,0.0,0.0,0.11247232,0.36652383,0.08844551,0.0,0.062684104,0.6238687,0.0,0.0,0.18156716,0.0,0.0,0.0,0.5061529,0.5868586,0.0,0.34907532,0.2869232,0.37054616,0.14797835,0.0,0.0,0.0,0.0,0.0,0.8446178,0.73216647,0.0,0.74313843,0.0,0.0,0.0,0.36395663,0.0,0.0,0.3323443,0.0,0.58467853,0.0,0.50932574,0.15065195,0.0,0.34287634,0.0,0.0,0.0,0.0997105",9,1.3347208,36.215454,21.284714
9,AEH1OP010.jpg,"0.86209625,0.43664762,0.0,0.099518694,0.0,0.0,0.0,0.0,0.38175118,0.0,0.0,0.034543388,0.0,0.0,0.6767643,0.34515995,0.35880324,0.0,0.7193088,0.21090934,0.639929,0.0,0.18839936,0.0,0.024709411,0.0,0.0,0.0,0.0,0.0,0.7870357,0.41204616,0.8740752,0.0,0.0,0.31138974,0.2905267,0.0,0.23667881,0.1315195,0.17213276,0.0,0.48711416,0.0,0.0,0.57109505,0.0,0.0,0.0,0.6033073,0.0,0.0,0.0,0.0,0.80301845,0.062264048,0.0,0.0,0.0,0.7729552,0.041442055,0.0,0.0,0.33020893",9,1.8021083,41.276016,15.318831
