id,image_path,latent_vector,cluster_label,cluster_center_distance,tsne-2d-one,tsne-2d-two
10,(~77사이즈) 패턴 랩 원피스_SWWOPM21190.jpeg,"0.0,0.0,0.0,0.4519406,0.0,0.73177505,0.010422528,0.49824876,0.0,0.39774692,0.0,0.40742728,0.0,0.0,0.0,0.0,0.31247258,0.14082795,0.0,0.8364271,0.54606664,0.76165783,0.17643678,0.0,0.0,0.0,0.5301502,0.0,0.0,0.35196027,0.48650962,0.0,0.27399948,0.76638013,0.0,0.0,1.1223487,0.0,0.0,0.0,0.6333388,0.0,0.0,0.0,0.0,0.0,0.39836526,0.056154802,0.0,0.84970987,0.0,1.8267727,0.0,0.0,0.0,0.09721249,0.43112582,0.25366667,0.0,0.0,0.0,1.021286,0.58165795,0.0",0,0.93120205,6.9473205,8.745155
11,(~88size)드로잉 플라워 주름 원피스.jpeg,"0.0,0.0,0.0,0.42203894,0.0,0.6985055,0.0,0.9016515,0.0,0.0,0.0,0.31949657,0.0,0.0,0.0,0.0,0.066759676,0.2757781,0.26491612,0.6876111,0.044243515,0.8546472,0.07680851,0.0,0.0,0.14600506,0.0,0.26097953,0.0,0.0,0.5992582,0.09841579,0.13982724,0.03862132,0.0,0.0,1.1653675,0.0,0.0,0.0,0.29293805,0.0,0.07158885,0.0,0.0,0.0,0.40295312,0.0,0.4916348,0.7308313,0.0,1.6242672,0.0,0.0,0.0,0.6381113,0.04962504,0.0,0.0,0.0,0.0,0.6899349,0.16242683,0.0",9,0.80545545,-0.28035194,-2.0501785
12,(가을 버젼) 슈크림 와플 캉캉 원피스(소매 긴기장 추가).jpeg,"0.0,0.0,0.0,0.6094574,0.0,1.5763459,0.13459936,1.1141279,0.0,0.0,0.0,0.10433179,0.0,0.0,0.0,0.15897599,0.014326394,0.0,0.0,0.47456285,0.0,1.0636659,0.31751114,0.0,0.0,1.0420698,0.081491545,0.0,0.0,0.0,0.5978632,0.40098584,0.4537756,0.046771556,0.0,0.0,0.9461558,0.0,0.0,0.30597916,0.4030107,0.0,0.0,0.0,0.0,0.0,0.8070525,0.0,0.689418,1.1265733,0.0,1.3189561,0.0,0.0,0.0,0.4916596,0.3398895,0.0,0.0,0.0,0.0,0.42682394,0.82956684,0.0",2,1.401497,16.667976,-1.0238017
13,(더아이잗) 니트 배색 비대칭 플레어 원피스 IL9A0OP07.jpeg,"0.0,0.0,0.15198177,0.0,0.03977423,0.37105256,0.0,1.0074427,0.0,0.10241365,0.0,0.758219,0.0,0.002875328,0.16633347,0.0,0.0,0.34600434,0.001899898,0.8560906,0.05913669,1.1214678,0.0,0.12347545,0.0,0.27521375,0.0,0.33979172,0.0,0.0,0.04001668,0.0,0.0,0.29671633,0.0,0.0,1.4335171,0.8105557,0.0,0.0,0.16291475,0.0,0.33039585,0.0,0.0,0.0,0.0,0.0,0.42274237,0.6971801,0.0,1.8659062,0.0,0.0,0.0,0.2926103,0.0,0.0,0.0,0.05321771,0.0,0.84193563,0.677246,0.0",6,0.7200109,-10.749854,-9.7835
14,(더아이잗) 더블 버튼 슬릿 디테일 원피스 IN3M0OP80.jpeg,"0.0,0.0,0.0,0.0,0.0,0.87535316,0.67494106,0.121815026,0.0,0.0,0.28808743,0.21979065,0.0,0.0,0.0,0.15973091,0.3088045,0.6295933,0.0,0.37611723,1.2378938,0.9732551,0.6261921,0.0,0.0,0.338961,0.83963346,0.0,0.0,0.3659141,0.6497078,0.0,0.090835914,1.2075326,0.0,0.0,0.9778756,0.0,0.0,0.33228946,0.14474554,0.0,0.0,0.0,0.0,0.0,0.56999034,0.0,0.19093068,1.2674304,0.0,1.1513617,0.0,0.0,0.0,0.80265355,0.4342338,0.37317818,0.0,0.0,0.0,1.0791185,0.7052925,0.0",4,1.3987019,12.104278,7.7207737
15,(더아이잗) 백 밴딩 프릴 슬리브 원피스 IN4A0OP01.jpeg,"0.0,0.0,0.0,0.22647157,0.0,0.7920407,0.48607618,0.4925946,0.0,0.0,0.0,0.39136285,0.0,0.0,0.0,0.20546725,0.54871047,0.29499558,0.0,0.73326486,0.73380625,0.6982445,0.66922474,0.0,0.0,0.0,0.7657117,0.0,0.0,0.66014713,0.74396837,0.0,0.19735867,1.1272199,0.0,0.0,0.85399985,0.0,0.0,0.354695,0.34514576,0.15255582,0.0,0.0,0.0,0.0,0.36712927,0.0,0.09671819,1.0661343,0.0,1.1698762,0.0,0.0,0.0,0.57882214,0.47560486,0.13902041,0.0,0.0,0.0,1.1331636,0.52229226,0.0",4,0.597109,10.741634,5.8640337
16,(더아이잗) 밴딩 셔츠 원피스 IN6P0OP13.jpeg,"0.0,0.0,0.0,0.4125586,0.0,0.6796037,0.08994758,0.68513924,0.0,0.0,0.0,0.69473916,0.0,0.0,0.0,0.23979679,0.0057510138,0.5467382,0.0,0.8320209,0.39036602,0.90459114,0.18166578,0.0,0.0,0.056125283,0.3431873,0.034098923,0.0,0.32620645,0.9554526,0.0,0.14255702,0.52223563,0.0,0.0,0.98043436,0.10632247,0.0,0.03131327,0.49985138,0.0,0.0,0.0,0.0,0.0,0.41439667,0.0,0.17442659,0.91543895,0.0,2.0980482,0.0,0.0,0.0,0.41475397,0.11720997,0.0,0.0,0.0,0.0,0.6958842,0.7329731,0.0",0,0.8162763,3.6347437,5.7419744
17,(더아이잗) 블라우스 배색 플리츠 원피스 IM4A0OP18.jpeg,"0.0,0.0,0.0,0.054139405,0.0,0.5859405,0.5394075,0.37850487,0.0,0.0,0.0,0.47173995,0.0,0.008952528,0.0,0.093361735,0.01844287,0.6845607,0.0,0.95054036,0.66136694,1.3516884,0.36446124,0.0,0.0,0.18392235,0.812973,0.0,0.0,0.3908894,0.7047909,0.0,0.25637436,1.0426953,0.0,0.0,1.1609551,0.0,0.0,0.3427934,0.338796,0.14445001,0.0,0.0,0.0,0.0,0.11251905,0.0,0.0,0.33741367,0.0,1.5161376,0.0,0.0,0.0,0.4752112,0.10351518,0.0,0.0,0.0,0.0,0.6242084,0.77866435,0.0",0,1.2045506,4.651297,8.277847
18,(더아이잗) 오간자 배색 서스펜더 원피스 IM4A0OP20.jpeg,"0.0,0.0,0.0,0.0,0.1558654,0.227139,0.0,0.45939034,0.0,0.1638346,0.0,0.33740604,0.0,0.0,0.49104422,0.0,0.0,0.0,0.0,0.8598677,0.84722096,0.92462516,0.0,0.18543565,0.0,0.0,0.2844205,0.0,0.0,0.11178389,0.21049142,0.0,0.124809384,0.39968088,0.0,0.0,1.2409421,0.11868051,0.0,0.0,0.49890894,0.0,0.0,0.0,0.0,0.0,0.21872419,0.0,0.50340056,0.5286789,0.0,1.9920138,0.0,0.0,0.0,0.10937059,0.0,0.0,0.0,0.0,0.0,0.95932335,0.75331855,0.0",1,0.9636144,-7.9003315,-5.9236603
19,(더아이잗) 턱 디테일 셔츠 원피스 IN5P0OP52.jpeg,"0.0,0.0,0.0,0.0,0.0,1.3388383,0.25509053,0.58623606,0.0,0.0,0.0,0.6179496,0.0,0.0,0.0,0.32341358,0.4785533,0.5825083,0.10037193,0.68210167,0.35383257,0.3126706,0.0,0.20233402,0.0,0.8808878,0.8288374,0.09271446,0.0,0.3363624,0.5581405,0.0,0.027068019,0.74648905,0.0,0.0,0.5828788,0.0,0.0,0.32856965,0.13088687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32976988,0.953221,0.0,0.72159743,0.0,0.0,0.0,0.15842426,0.29197276,0.0,0.0,0.0,0.0,0.7281506,0.5900935,0.0",2,1.4375576,14.949895,4.235916
